00:25:381 
00:02:539 PD_C_0
00:03:095 PD_D_0
00:03:933 PD_D_0
00:04:234 PD_C_1
00:04:586 PD_C_1
00:04:848 PD_D_0
00:05:198 PD_B_0
00:05:524 PD_B_0
00:05:834 PD_A_0
00:06:012 PD_A_0
00:06:295 PD_G_0
00:06:643 PD_G_0
00:06:793 PD_G_0
00:07:182 PD_C_1
00:07:531 PD_C_1
00:07:852 PD_B_0
00:08:176 PD_B_0
00:08:532 PD_G_0
00:08:744 PD_G_0
00:09:138 PD_A_0
00:09:490 PD_B_0
00:09:750 PD_C_1
00:10:673 PD_D_1
00:11:400 PD_E_1
00:11:734 PD_B_0
00:12:087 PD_B_0
00:12:377 PD_A_0
00:12:576 PD_A_0
00:12:896 PD_G_0
00:13:231 PD_G_0
00:13:417 PD_G_0
00:13:842 PD_D_1
00:14:161 PD_D_1
00:14:570 PD_G_0
00:14:878 PD_G_0
00:16:131 PD_B_0
00:17:973 PD_C_1
00:18:826 PD_B_0
00:23:000 PD_B_0
00:23:100 PD_A_0
00:23:233 PD_G_0
