00:19:735 
00:00:899 DH_MTM
00:03:331 PD_E_0
00:03:335 PD_F_0
00:04:666 PD_F_0
00:04:674 PD_G_0
00:04:978 PD_F_0
00:04:985 PD_G_0
00:05:273 PD_F_0
00:05:279 PD_G_0
00:05:569 PD_F_0
00:05:579 PD_G_0
00:05:896 PD_F_0
00:05:902 PD_G_0
00:06:238 PD_F_0
00:06:243 PD_G_0
00:06:598 PD_G_0
00:06:604 PD_E_0
00:06:909 PD_G_0
00:06:923 PD_E_0
00:07:239 PD_G_0
00:07:245 PD_E_0
00:07:557 PD_G_0
00:07:570 PD_E_0
00:07:868 PD_G_0
00:07:892 PD_E_0
00:08:227 PD_E_0
00:08:250 PD_G_0
00:08:697 PD_D_0
00:08:885 PD_D_0
00:08:907 PD_B_0
00:09:238 PD_D_0
00:09:244 PD_B_0
00:09:349 GH_C_1
00:09:354 GH_E_1
00:09:356 GH_G_1
00:09:359 GH_C_2
00:09:524 PD_D_0
00:09:529 PD_B_0
00:09:804 PD_D_0
00:09:819 PD_B_0
00:10:094 PD_D_0
00:10:104 PD_B_0
00:10:362 GH_C_1
00:10:367 GH_E_1
00:10:370 GH_G_1
00:10:372 GH_C_2
00:10:393 PD_D_0
00:10:401 PD_B_0
00:10:698 PD_C_0
00:10:706 PD_C_1
00:11:002 PD_C_0
00:11:005 PD_C_1
00:11:088 GH_C_1
00:11:096 GH_E_1
00:11:097 GH_G_1
00:11:097 GH_C_2
00:11:259 GH_C_1
00:11:263 GH_E_1
00:11:264 GH_G_1
00:11:265 GH_C_2
00:11:298 PD_C_0
00:11:311 PD_C_1
00:11:432 GH_C_1
00:11:436 GH_E_1
00:11:438 GH_G_1
00:11:440 GH_C_2
00:11:576 GH_C_1
00:11:583 GH_E_1
00:11:585 GH_G_1
00:11:588 GH_C_2
00:11:601 PD_C_0
00:11:628 PD_C_1
00:11:731 GH_C_1
00:11:736 GH_E_1
00:11:739 GH_G_1
00:11:741 GH_C_2
00:11:847 GH_C_1
00:11:853 GH_E_1
00:11:855 GH_G_1
00:11:858 GH_C_2
00:11:909 PD_D_0
00:11:933 PD_B_0
00:12:236 PD_E_0
00:12:242 PD_A_0
00:12:558 PD_F_0
00:12:570 PD_G_0
00:12:842 PD_F_0
00:12:846 PD_G_0
00:13:119 PD_F_0
00:13:133 PD_G_0
00:13:398 PD_F_0
00:13:427 PD_G_0
00:13:679 PD_F_0
00:13:691 PD_G_0
00:13:979 PD_F_0
00:13:991 PD_G_0
00:14:264 PD_E_0
00:14:271 PD_G_0
00:14:559 PD_E_0
00:14:570 PD_G_0
00:14:820 PD_E_0
00:14:829 PD_G_0
00:15:095 PD_G_0
00:15:100 PD_E_0
00:15:372 PD_E_0
00:15:382 PD_G_0
00:15:659 PD_E_0
00:15:679 PD_G_0
00:15:937 PD_B_0
00:15:954 PD_D_0
00:16:237 PD_B_0
00:16:244 PD_D_0
00:16:509 PD_D_0
00:16:517 PD_B_0
00:16:773 PD_B_0
00:16:779 PD_D_0
